Feature Index Set,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
26,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 26, 27, 35, 38, 39, 42, 48, 49, 50, 51, 52, 59, 60, 66)",[0.9        0.86899563 0.82532751 0.86899563 0.82969432],0.8586026200873362,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '26', '27', '35', '38', '39', '42', '48', '49', '50', '51', '52', '59', '60', '66')",0.03577034143256495,0.02783054088119351,0.013915270440596756
57,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29, 31, 32, 33, 35, 38, 39, 40, 42, 43, 44, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67)",[0.89130435 0.8558952  0.8209607  0.86899563 0.84279476],0.8559901272071387,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '19', '20', '22', '23', '25', '26', '27', '28', '29', '31', '32', '33', '35', '38', '39', '40', '42', '43', '44', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67')",0.030510028638204498,0.023737838815508585,0.01186891940775429
25,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 26, 27, 35, 38, 39, 48, 49, 50, 51, 52, 59, 60, 66)",[0.9        0.87772926 0.81659389 0.8558952  0.82969432],0.8559825327510918,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '26', '27', '35', '38', '39', '48', '49', '50', '51', '52', '59', '60', '66')",0.039208749089207795,0.030505738853089017,0.015252869426544507
24,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 26, 35, 38, 39, 48, 49, 50, 51, 52, 59, 60, 66)",[0.9        0.86462882 0.81222707 0.86462882 0.82969432],0.854235807860262,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '26', '35', '38', '39', '48', '49', '50', '51', '52', '59', '60', '66')",0.03931145382384858,0.030585646625887367,0.01529282331294368
58,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29, 31, 32, 33, 34, 35, 38, 39, 40, 42, 43, 44, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67)",[0.88695652 0.83406114 0.8209607  0.87336245 0.84279476],0.8516271122080882,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '19', '20', '22', '23', '25', '26', '27', '28', '29', '31', '32', '33', '34', '35', '38', '39', '40', '42', '43', '44', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67')",0.03173182483422703,0.024688437764808398,0.012344218882404197
59,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 31, 32, 33, 34, 35, 38, 39, 40, 42, 43, 44, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67)",[0.89565217 0.85152838 0.80786026 0.86462882 0.83842795],0.851619517752041,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '19', '20', '21', '22', '23', '25', '26', '27', '28', '29', '31', '32', '33', '34', '35', '38', '39', '40', '42', '43', '44', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67')",0.037238030290903924,0.02897245267563025,0.014486226337815124
23,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 35, 38, 39, 48, 49, 50, 51, 52, 59, 60, 66)",[0.89130435 0.86026201 0.81659389 0.86026201 0.82532751],0.8507499525346498,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '35', '38', '39', '48', '49', '50', '51', '52', '59', '60', '66')",0.03467215984107514,0.026976118293851166,0.013488059146925583
60,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 38, 39, 40, 42, 43, 44, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67)",[0.9        0.84716157 0.81659389 0.8558952  0.83406114],0.8507423580786027,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '19', '20', '21', '22', '23', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '38', '39', '40', '42', '43', '44', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67')",0.03594253654797257,0.027964514531065656,0.013982257265532828
61,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 38, 39, 40, 42, 43, 44, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67)",[0.90869565 0.83842795 0.80786026 0.85152838 0.83406114],0.848114676286311,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '38', '39', '40', '42', '43', '44', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67')",0.042988939301404995,0.033446855264783776,0.016723427632391888
62,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 38, 39, 40, 42, 43, 44, 45, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67)",[0.9        0.82969432 0.80786026 0.85152838 0.82969432],0.8437554585152839,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '38', '39', '40', '42', '43', '44', '45', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67')",0.040267830146359096,0.03132973989633076,0.01566486994816538
64,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 38, 39, 40, 41, 42, 43, 44, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67)",[0.89130435 0.8209607  0.80786026 0.84716157 0.83842795],0.8411429656350864,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '38', '39', '40', '41', '42', '43', '44', '45', '47', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67')",0.036691944623898416,0.028547579474213318,0.014273789737106657
